Year,Horsepower,Weight (lb)
1999,130,3504
1999,165,3693
1991,150,3436
1983,150,3433
1999,140,3449
1999,198,4341
1983,220,4354
1979,215,4312
1983,225,4425
1970,190,3850
1998,170,3563
1979,160,3609
1985,150,3761
1971,225,3086
1992,95,2372
1974,95,2833
1972,97,2774
1984,85,2587
1995,88,2130
1970,46,1835
1985,87,2672
1972,90,2430
1997,95,2375
1997,113,2234
1977,90,2648
1992,215,4615
1994,200,4376
1989,210,4382
1982,193,4732
1979,88,2130
2000,90,2264
1999,95,2228
1975,?,2046
1985,100,2634
1970,105,3439
1995,100,3329
1999,88,3302
1985,100,3288
1973,165,4209
1990,175,4464
1982,153,4154
1995,150,4096
1981,180,4955
1988,170,4746
1970,175,5140
1972,110,2962
2000,72,2408
1985,100,3282
1994,88,3139
1999,86,2220
1974,90,2123
1982,70,2074
1989,76,2065
1991,65,1773
1989,69,1613
1975,60,1834
1984,70,1955
1986,95,2278
1989,80,2126
1996,54,2254
1999,90,2408
1988,86,2226
1987,165,4274
1985,175,4385
1972,150,4135
1983,153,4129
1987,150,3672
1993,208,4633
1989,155,4502
1970,160,4456
1995,190,4422
1979,97,2330
1983,150,3892
1974,130,4098
1991,140,4294
1995,150,4077
1999,112,2933
1976,76,2511
1979,87,2979
1975,69,2189
1990,86,2395
1991,92,2288
1975,97,2506
1985,80,2164
1993,88,2100
1983,175,4100
1980,150,3672
1982,145,3988
1978,137,4042
1971,150,3777
1978,198,4952
1981,150,4464
1970,158,4363
1989,150,4237
1999,215,4735
1987,225,4951
1978,175,3821
1980,105,3121
1971,100,3278
1999,100,2945
1991,88,3021
1975,95,2904
1984,46,1950
1977,150,4997
1987,167,4906
1972,170,4654
1983,180,4499
1988,100,2789
1978,88,2279
1992,72,2401
1998,94,2379
1999,90,2124
1973,85,2310
1991,107,2472
1983,90,2265
1990,145,4082
1981,230,4278
1986,49,1867
1981,75,2158
1992,91,2582
1993,112,2868
1970,150,3399
1977,110,2660
1997,122,2807
1990,180,3664
1975,95,3102
1981,?,2875
1977,100,2901
1975,100,3336
2000,67,1950
1991,80,2451
1991,65,1836
1989,75,2542
1978,100,3781
1981,110,3632
1976,105,3613
1994,140,4141
1972,150,4699
1994,150,4457
1984,140,4638
1992,150,4257
1997,83,2219
1985,67,1963
1976,78,2300
1980,52,1649
1985,61,2003
1999,75,2125
1973,75,2108
1970,75,2246
1985,97,2489
1989,93,2391
1986,67,2000
1996,95,3264
1973,105,3459
1983,72,3432
1981,72,3158
1997,170,4668
1995,145,4440
1978,150,4498
1999,148,4657
1997,110,3907
1986,105,3897
1979,110,3730
1982,95,3785
2000,110,3039
1987,110,3221
1987,129,3169
1978,75,2171
1982,83,2639
1990,100,2914
1972,78,2592
1997,96,2702
1985,71,2223
1972,97,2545
1971,97,2984
1980,70,1937
1986,90,3211
1986,95,2694
1993,88,2957
1981,98,2945
1987,115,2671
1977,53,1795
1997,86,2464
1991,81,2220
1977,92,2572
1979,79,2255
1976,83,2202
1978,140,4215
1993,150,4190
1985,120,3962
1983,152,4215
1997,100,3233
1976,105,3353
1999,81,3012
1980,90,3085
2000,52,2035
1980,60,2164
1989,70,1937
1974,53,1795
1980,100,3651
1997,78,3574
1996,110,3645
1982,95,3193
1994,71,1825
1996,70,1990
1980,75,2155
1998,72,2565
1981,102,3150
1997,150,3940
1990,88,3270
1983,108,2930
1971,120,3820
1992,180,4380
1990,145,4055
1986,130,3870
1990,150,3755
1970,68,2045
1998,80,2155
1993,58,1825
1979,96,2300
1979,70,1945
1988,145,3880
1998,110,4060
1982,145,4140
1972,130,4295
1993,110,3520
1976,105,3425
1982,100,3630
1992,98,3525
1998,180,4220
1992,170,4165
1982,190,4325
1972,149,4335
1972,78,1940
1996,88,2740
1971,75,2265
1984,89,2755
1997,63,2051
1986,83,2075
1996,67,1985
1971,78,2190
1979,97,2815
1992,110,2600
1982,110,2720
1985,48,1985
1984,66,1800
1975,52,1985
1992,70,2070
2000,60,1800
1978,110,3365
1973,140,3735
1973,139,3570
1977,105,3535
1973,95,3155
1993,85,2965
